        -1         -1    1.09868
     -0.75         -1          1
      -0.5         -1   0.899454
     -0.25         -1   0.800243
         0         -1   0.707107
      0.25         -1   0.624811
       0.5         -1   0.555893
      0.75         -1        0.5
         1         -1    0.45509
        -1      -0.75    1.06066
     -0.75      -0.75   0.912367
      -0.5      -0.75   0.771853
     -0.25      -0.75   0.656147
         0      -0.75   0.564158
      0.25      -0.75   0.491248
       0.5      -0.75   0.433614
      0.75      -0.75   0.388414
         1      -0.75   0.353553
        -1       -0.5    1.02909
     -0.75       -0.5   0.816959
      -0.5       -0.5   0.619427
     -0.25       -0.5   0.488359
         0       -0.5   0.402194
      0.25       -0.5    0.34242
       0.5       -0.5   0.298901
      0.75       -0.5   0.266538
         1       -0.5   0.242934
        -1      -0.25    1.00766
     -0.75      -0.25   0.707005
      -0.5      -0.25   0.400537
     -0.25      -0.25   0.275699
         0      -0.25   0.213815
      0.25      -0.25   0.177334
       0.5      -0.25   0.153034
      0.75      -0.25   0.135902
         1      -0.25   0.124049
        -1          0          1
     -0.75          0   0.603503
      -0.5          0          0
     -0.25          0          0
         0          0          0
      0.25          0          0
       0.5          0          0
      0.75          0          0
         1          0          0
        -1       0.25    1.00766
     -0.75       0.25   0.707005
      -0.5       0.25   0.400537
     -0.25       0.25   0.275699
         0       0.25   0.213815
      0.25       0.25   0.177334
       0.5       0.25   0.153034
      0.75       0.25   0.135902
         1       0.25   0.124049
        -1        0.5    1.02909
     -0.75        0.5   0.816959
      -0.5        0.5   0.619427
     -0.25        0.5   0.488359
         0        0.5   0.402194
      0.25        0.5    0.34242
       0.5        0.5   0.298901
      0.75        0.5   0.266538
         1        0.5   0.242934
        -1       0.75    1.06066
     -0.75       0.75   0.912367
      -0.5       0.75   0.771853
     -0.25       0.75   0.656147
         0       0.75   0.564158
      0.25       0.75   0.491248
       0.5       0.75   0.433614
      0.75       0.75   0.388414
         1       0.75   0.353553
        -1          1    1.09868
     -0.75          1          1
      -0.5          1   0.899454
     -0.25          1   0.800243
         0          1   0.707107
      0.25          1   0.624811
       0.5          1   0.555893
      0.75          1        0.5
         1          1    0.45509
